id,deptid,salary
1,2,20000
2,3,60000
3,4,120000
4,5,200000
5,1,50000
6,2,120000
7,3,210000
8,4,320000
9,5,450000
10,1,100000
11,2,220000
12,3,360000
13,4,520000
14,5,700000
15,1,150000
16,2,320000
17,3,510000
18,4,720000
19,5,950000
20,1,200000
21,2,420000
22,3,660000
23,4,920000
24,5,1200000
25,1,250000
26,2,520000
27,3,810000
28,4,1120000
29,5,1450000
30,1,300000
31,2,620000
32,3,960000
33,4,1320000
34,5,1700000
35,1,350000
36,2,720000
37,3,1110000
38,4,1520000
39,5,1950000
40,1,400000
41,2,820000
42,3,1260000
43,4,1720000
44,5,2200000
45,1,450000
46,2,920000
47,3,1410000
48,4,1920000
49,5,2450000
50,1,500000
51,2,1020000
52,3,1560000
53,4,2120000
54,5,2700000
55,1,550000
56,2,1120000
57,3,1710000
58,4,2320000
59,5,2950000
60,1,600000
61,2,1220000
62,3,1860000
63,4,2520000
64,5,3200000
65,1,650000
66,2,1320000
67,3,2010000
68,4,2720000
69,5,3450000
70,1,700000
71,2,1420000
72,3,2160000
73,4,2920000
74,5,3700000
75,1,750000
76,2,1520000
77,3,2310000
78,4,3120000
79,5,3950000
80,1,800000
81,2,1620000
82,3,2460000
83,4,3320000
84,5,4200000
85,1,850000
86,2,1720000
87,3,2610000
88,4,3520000
89,5,4450000
90,1,900000
91,2,1820000
92,3,2760000
93,4,3720000
94,5,4700000
95,1,950000
96,2,1920000
97,3,2910000
98,4,3920000
99,5,4950000
100,1,1000000
101,2,2020000
102,3,3060000
103,4,4120000
104,5,5200000
105,1,1050000
106,2,2120000
107,3,3210000
108,4,4320000
109,5,5450000
110,1,1100000
111,2,2220000
112,3,3360000
113,4,4520000
114,5,5700000
115,1,1150000
116,2,2320000
117,3,3510000
118,4,4720000
119,5,5950000
120,1,1200000
121,2,2420000
122,3,3660000
123,4,4920000
124,5,6200000
125,1,1250000
126,2,2520000
127,3,3810000
128,4,5120000
129,5,6450000
130,1,1300000
131,2,2620000
132,3,3960000
133,4,5320000
134,5,6700000
135,1,1350000
136,2,2720000
137,3,4110000
138,4,5520000
139,5,6950000
140,1,1400000
141,2,2820000
142,3,4260000
143,4,5720000
144,5,7200000
145,1,1450000
146,2,2920000
147,3,4410000
148,4,5920000
149,5,7450000
150,1,1500000
151,2,3020000
152,3,4560000
153,4,6120000
154,5,7700000
155,1,1550000
156,2,3120000
157,3,4710000
158,4,6320000
159,5,7950000
160,1,1600000
161,2,3220000
162,3,4860000
163,4,6520000
164,5,8200000
165,1,1650000
166,2,3320000
167,3,5010000
168,4,6720000
169,5,8450000
170,1,1700000
171,2,3420000
172,3,5160000
173,4,6920000
174,5,8700000
175,1,1750000
176,2,3520000
177,3,5310000
178,4,7120000
179,5,8950000
180,1,1800000
181,2,3620000
182,3,5460000
183,4,7320000
184,5,9200000
185,1,1850000
186,2,3720000
187,3,5610000
188,4,7520000
189,5,9450000
190,1,1900000
191,2,3820000
192,3,5760000
193,4,7720000
194,5,9700000
195,1,1950000
196,2,3920000
197,3,5910000
198,4,7920000
199,5,9950000
200,1,2000000
201,2,4020000
